DATAFLOW,freq,indic_bt,nace_r2,s_adj,unit,Country,Date,Num,OBS_FLAG
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BE,2021-02,112.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BE,2021-03,117.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2019-08,102.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2019-09,106.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2019-10,111.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2019-11,113.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2019-12,107.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-01,102.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-02,103.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-03,104.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-04,86.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-05,88,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-06,100,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-07,103.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-08,96.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-09,103.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-10,108.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-11,108.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2020-12,104.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2021-01,99.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2021-02,100.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,BG,2021-03,111.3,p
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2019-08,99,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2019-09,119.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2019-10,130.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2019-11,129.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2019-12,113.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-01,110.7,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-02,109.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-03,121.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-04,103,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-05,103.3,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-06,110.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-07,105.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-08,93.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-09,115.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-10,121.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-11,125.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CH,2020-12,112.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2019-08,117.8,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2019-09,140.5,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2019-10,135.1,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2019-11,127,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2019-12,130.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-01,123.6,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-02,124.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-03,114.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-04,78.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-05,114.9,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-06,128.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-07,143.2,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-08,109.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-09,136.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-10,131.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-11,126.4,
ESTAT:STS_INPR_M(1.0),M,PROD,B-D,CA,I15,CY,2020-12,127.9,
